row_no,material_desc,cb1_bulan,cb1_shift,cb1_line,cb1_suhu_rata,cb2_suhu_rata,cb1_rata_ka,cb2_rata_ka,cb1_pct_yield,ck1_pct_yield,ka_ekstrem_count,is_defect,consensus_label,rf_status,gb_status,if_status,rf_proba_defect,gb_proba_defect,cluster
1,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,71.55,71.49,5.0600000000000005,3.3825000000000003,102.1706,102.0,0,0,Normal,Normal,Normal,Normal,0.1048599108207434,1.059841616376784e-05,0
2,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,78.25,71.61,4.985,3.3575,99.388,99.3968,0,1,Defect,Defect,Defect,Normal,0.907152961455071,0.999966553698788,2
3,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,71.38,71.1,5.0600000000000005,3.25,101.7124,101.4603,0,0,Normal,Normal,Normal,Defect,0.1194303822240772,1.059841616376784e-05,0
4,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,77.29,71.61,4.94,3.3575,94.8629,94.9841,1,1,Defect,Defect,Defect,Defect,0.8878910074899122,0.999966553698788,2
5,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,71.8,71.39,4.945,3.345,101.9097,101.8095,0,0,Normal,Normal,Normal,Normal,0.0840342251229388,1.059841616376784e-05,0
6,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,73.9,71.79,5.015000000000001,3.3675,102.5318,102.4127,0,0,Normal,Normal,Normal,Normal,0.0933761325963993,1.059841616376784e-05,0
7,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,74.53,71.65,4.99,3.3625000000000003,101.7425,101.5873,0,0,Normal,Normal,Normal,Normal,0.1129996176818763,1.1627020559663254e-05,1
8,BODREX FLU & BATUK PE/4'S,DESEMBER,1,CB 1,73.85,72.16,4.88,3.4275,102.7525,102.6349,0,0,Normal,Normal,Normal,Normal,0.0669587916940875,1.059841616376784e-05,0
9,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 2,74.12,71.44,5.485,3.2875000000000005,98.99,99.0794,0,0,Normal,Normal,Defect,Normal,0.2888694056792695,0.9999637450516056,0
10,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,78.0,71.61,4.98,3.3575,96.0201,102.03175,0,1,Defect,Defect,Defect,Defect,0.8886199099439946,0.999966553698788,2
11,BODREX FLU & BATUK PE/4'S,JANUARI,2,CB 1,74.53,71.95,5.04,3.3475,102.4515,102.381,0,0,Normal,Normal,Normal,Normal,0.1645029040209347,1.059841616376784e-05,0
12,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,78.05,71.61,5.0600000000000005,3.3575,104.9833,102.03175,0,1,Defect,Defect,Defect,Defect,0.8560774874949716,0.999966553698788,2
13,BODREX FLU & BATUK PE/4'S,JANUARI,2,CB 1,74.22,71.36,4.99,3.2875,102.5251,102.5079,0,0,Normal,Normal,Normal,Normal,0.1004864719939383,1.059841616376784e-05,0
14,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,79.45,71.61,4.925,3.3575,106.1204,102.03175,0,1,Defect,Defect,Defect,Defect,0.9234249875341812,0.999966553698788,2
15,BODREX FLU & BATUK PE/4'S,JANUARI,2,CB 1,74.7,72.06,4.75,3.2425,101.9933,101.5873,0,0,Normal,Normal,Normal,Defect,0.0675186809705522,1.059841616376784e-05,0
16,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,73.9,71.94,4.77,3.315,102.7391,102.5714,0,0,Normal,Normal,Normal,Normal,0.0436078670126538,1.059841616376784e-05,0
17,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,76.8,71.61,5.05,3.3575,102.7391,102.03175,0,1,Defect,Defect,Defect,Defect,0.900145681008042,0.999966553698788,2
18,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,74.1,71.45,5.025,3.3575,100.9197,100.7619,0,0,Normal,Normal,Normal,Normal,0.1161766602552894,1.0562192837827576e-05,0
19,BODREX FLU & BATUK PE/4'S,JANUARI,2,CB 1,73.78,71.21,5.02,3.3225,102.6823,102.5397,0,0,Normal,Normal,Normal,Normal,0.0905571055283561,1.059841616376784e-05,0
20,BODREX FLU & BATUK PE/4'S,JANUARI,3,CB 1,73.85,71.49,4.99,3.3725000000000005,102.1572,102.0635,0,0,Normal,Normal,Normal,Normal,0.0427265762216759,1.059841616376784e-05,0
21,BODREX FLU & BATUK PE/4'S,JANUARI,1,CB 1,73.75,71.35,4.98,3.45,102.7224,102.5397,0,0,Normal,Normal,Normal,Normal,0.0883204961583267,1.059841616376784e-05,0
