Status,Material_Description,Material_Code,Code_Material,RK,Tahun,Created_On_SAP,No_Order,Batch,Batch_Ke,GB_Mesin_L1,GB_Mesin_L2,GB_Yield_Kg_L1,GB_Yield_Kg_L2,GB_Tanggal_CB_L1,GB_Tanggal_CB_L2,GB_Kadar_Air_L1,GB_Kadar_Air_L2,GB_Keterangan,GK_Mesin_L1,GK_Mesin_L2,GK_Yield_Kg_L1,GK_Yield_Kg_L2,GK_Tanggal_CK_L1,GK_Tanggal_CK_L2,GK_Keterangan,Cetak_Mesin,Cetak_Tgl_Mulai,Cetak_Tgl_Selesai,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Cetak_Keterangan,Cetak_Total,Kemas_Mesin,Kemas_Tgl_Mulai,Kemas_Tgl_Selesai,Kemas_Yield_Blister,Kemas_Pct_Teoritis,Kemas_Keterangan,Kemas_Total,Kemul_Tambahan,Tgl_Kemul,Mesin_Sealing,Sealing,Forming,Hasil_Blister_Reject,Tablet_Rusak_Kg,Sampah_Cacahan_Kg,Blister_Kosong_Kg,Waste_Sedotan_Kg,Waste_Sample_IPC_Kg,GB_Kadar_Air_L1_num,GB_Kadar_Air_L2_num,GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,Total_Waste_Kg,Defect_Cetak,Defect_Kemas,Defect_Overall,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Tahun_Produksi,GB_Kadar_Air_Mean
s,APC PLUS TABLET/20E NF NG,APCP,F1791,5.0,2024.0,29.04.2024,300021182.0,051364 1,1.0,CB  2,,427.99,,2024-05-17,,"5,50/5,46/5,52",,SELESAI,CK1-1,,769.06,307.485,2024-05-20,,SELESAI,,2024-05-22,2024-05-22,740.0,2.9365079365079363,Selesai,1.0,MEDISEAL 1,2024-05-29,,16046.0,0.4584571428571428,"belum selesai, 2 TONG ( TONG 1 & 2 ), tong nomor 2 ( 4.6 kg ) di hold, tablet belah",0.4584571428571428,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.493333333333333,,427.99,1076.545,2.5153508259538775,0.0,0,1,1,0.0,,5.0,2024.0,5.493333333333333
s,APC PLUS TABLET/20E NF NG,APCP,F1791,5.0,2024.0,29.04.2024,300021183.0,051364 2,2.0,CB  2,,425.72,,2024-05-24,,"5,35/5,45/5,47",,SELESAI,CK1-1,CK3-1,462.2,446.18,2024-05-28,2024-05-31,SELESAI,,2024-06-01,2024-06-01,712.0,2.8253968253968256,Selesai,1.0,MEDISEAL 1,2024-06-04,2024-06-04,97622.0,2.7892,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423333333333333,,425.72,908.38,2.133749882551912,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.423333333333333
s,APC PLUS TABLET/20E NF NG,APCP,F1791,5.0,2024.0,29.04.2024,300021184.0,051364 3,3.0,CB  2,,429.17,,2024-05-27,,"5,39/5,60/5,56",,SELESAI,CK1-1,CK3-1,466.88,466.39,2024-05-28,2024-05-31,SELESAI,,2024-06-01,2024-06-03,753.0,2.988095238095238,Selesai,1.0,MEDISEAL 1,2024-06-04,2024-06-05,102343.0,2.9240857142857144,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.516666666666666,,429.17,933.27,2.1745928186965537,0.0,0,0,0,2.0,1.0,6.0,2024.0,5.516666666666666
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021320.0,061484 1,1.0,CB  2,,429.63,,2024-06-05,,"5,44/5,52/5,54",,SELESAI,CK2-1,CK3-1,467.08,307.03,2024-06-07,2024-06-07,SELESAI,,2024-06-09,2024-06-09,751.0,0.93875,Selesai,1.0,MEDISEAL 2,2024-06-12,2024-06-12,104288.0,0.9932190476190476,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,,429.63,774.1099999999999,1.8018062053394779,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.5
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021321.0,061484 2,2.0,CB  2,,432.82,,2024-06-05,,"5,41/5,43/5,58",,SELESAI,CK2-1,CK3-1,470.5,307.33,2024-06-07,2024-06-07,SELESAI,,2024-06-09,2024-06-10,742.0,0.9275,Selesai,1.0,MEDISEAL 2,2024-06-12,2024-06-13,103087.0,0.9817809523809524,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.473333333333334,,432.82,777.8299999999999,1.7971212051199112,0.0,0,0,0,1.0,1.0,6.0,2024.0,5.473333333333334
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021322.0,061484 3,3.0,CB  2,,436.24,,2024-06-05,,"5,39/5,45/5,10",,SELESAI,CK1-1,CK3-1,305.3,473.97,2024-06-09,2024-06-09,SELESAI,,2024-06-10,2024-06-10,758.0,0.9475,Selesai,1.0,MEDISEAL 2,2024-06-13,2024-06-13,105285.0,1.0027142857142857,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3133333333333335,,436.24,779.27,1.7863332110764716,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.3133333333333335
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021323.0,061484 4,4.0,CB  2,,428.0,,2024-06-10,,"5,48/5,57/5,48",,SELESAI,CK3-1,CK3-1,465.06,307.51,2024-06-10,2024-06-10,SELESAI,,2024-06-10,2024-06-11,733.0,0.91625,Selesai,1.0,MEDISEAL 2,2024-06-13,2024-06-14,101677.0,0.968352380952381,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510000000000001,,428.0,772.5699999999999,1.8050700934579438,0.0,0,0,0,1.0,1.0,6.0,2024.0,5.510000000000001
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021324.0,061484 5,5.0,CB  2,,434.0,,2024-06-10,,"5,40/5,49/5,59",,SELESAI,CK3-1,CK1-1,471.08,307.06,2024-06-10,2024-06-11,SELESAI,,2024-06-11,2024-06-11,745.0,0.93125,Selesai,1.0,MEDISEAL 2,2024-06-14,2024-06-14,103519.0,0.985895238095238,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.493333333333333,,434.0,778.14,1.7929493087557604,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.493333333333333
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021325.0,061484 6,6.0,CB  2,,424.11,,2024-06-11,,"5,57/5,49/5,25",,SELESAI,CK3-1,CK2-1,461.41,307.56,2024-06-11,2024-06-11,SELESAI,,2024-06-12,2024-06-12,745.0,0.93125,Selesai,1.0,MEDISEAL 2,2024-06-14,2024-06-15,104532.0,0.9955428571428572,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.436666666666667,,424.11,768.97,1.8131381009643726,0.0,0,0,0,0.0,1.0,6.0,2024.0,5.436666666666667
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021326.0,061484 7,7.0,CB  2,,428.9,,2024-06-12,,"5,25/5,43/5,54",,SELESAI,CK2-1,CK1-1,466.0,307.32,2024-06-12,2024-06-12,SELESAI,,2024-06-12,2024-06-12,744.0,0.93,Selesai,1.0,MEDISEAL 2,2024-06-15,2024-06-15,103013.0,0.9810761904761904,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.406666666666666,,428.9,773.3199999999999,1.8030310095593378,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.406666666666666
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021327.0,061484 8,8.0,CB  2,,435.4,,2024-06-12,,"5,47/5,29/5,30",,SELESAI,CK2-1,CK3-1,473.1,307.8,2024-06-12,2024-06-13,SELESAI,,2024-06-13,2024-06-14,746.0,0.9325,Selesai,1.0,MEDISEAL 2,2024-06-20,2024-06-20,103417.0,0.9849238095238096,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.353333333333333,,435.4,780.9000000000001,1.7935231970601748,0.0,0,0,0,1.0,0.0,6.0,2024.0,5.353333333333333
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021328.0,061484 9,9.0,CB  2,,435.7,,2024-06-12,,"5,40/5,59/5,43",,SELESAI,CK2-1,CK1-1,473.22,307.46,2024-06-14,2024-06-14,SELESAI,,2024-06-18,2024-06-18,749.0,0.93625,Selesai,1.0,MEDISEAL 2,2024-06-20,2024-06-20,101051.0,0.9623904761904762,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.473333333333334,,435.7,780.6800000000001,1.7917833371585956,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.473333333333334
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021329.0,061894 1,10.0,CB  2,,427.2,,2024-06-13,,"5,57/5,31/5,19",,SELESAI,CK1-1,CK2-1,464.6,307.44,2024-06-18,2024-06-18,SELESAI,,2024-06-18,2024-06-19,743.0,0.92875,Selesai,1.0,MEDISEAL 2,2024-06-21,2024-06-21,103412.0,0.9848761904761903,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3566666666666665,,427.2,772.04,1.8072097378277152,0.0,0,0,0,1.0,0.0,6.0,2024.0,5.3566666666666665
s,APC PLUS TABLET/20E NF NG,APCP,F1791,6.0,2024.0,2024-04-06 00:00:00,300021330.0,061894 2,11.0,CB  2,,431.4,,2024-06-13,,"5,38/5,52/5,53",,SELESAI,CK1-1,CK2-1,469.12,307.44,2024-06-18,2024-06-18,SELESAI,,2024-06-19,2024-06-19,747.0,0.93375,Selesai,1.0,MEDISEAL 2,2024-06-21,2024-06-21,103789.0,0.9884666666666668,"SELESAI, speed 290",1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476666666666667,,431.4,776.56,1.8000927213722764,0.0,0,0,0,0.0,0.0,6.0,2024.0,5.476666666666667
