Status,Material_Description,Material_Code,Code_Material,RK,Tahun,Created_On_SAP,No_Order,Batch,Batch_Ke,GB_Mesin_L1,GB_Mesin_L2,GB_Yield_Kg_L1,GB_Yield_Kg_L2,GB_Tanggal_CB_L1,GB_Tanggal_CB_L2,GB_Kadar_Air_L1,GB_Kadar_Air_L2,GB_Keterangan,GK_Mesin_L1,GK_Mesin_L2,GK_Yield_Kg_L1,GK_Yield_Kg_L2,GK_Tanggal_CK_L1,GK_Tanggal_CK_L2,GK_Keterangan,Cetak_Mesin,Cetak_Tgl_Mulai,Cetak_Tgl_Selesai,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Cetak_Keterangan,Cetak_Total,Kemas_Mesin,Kemas_Tgl_Mulai,Kemas_Tgl_Selesai,Kemas_Yield_Blister,Kemas_Pct_Teoritis,Kemas_Keterangan,Kemas_Total,Kemul_Tambahan,Tgl_Kemul,Mesin_Sealing,Sealing,Forming,Hasil_Blister_Reject,Tablet_Rusak_Kg,Sampah_Cacahan_Kg,Blister_Kosong_Kg,Waste_Sedotan_Kg,Waste_Sample_IPC_Kg
s,APC PLUS TABLET/20E NF NG,APCP,F1791,05,2024,29.04.2024,300021182,051364 1,1,CB  2,,427.99,,2024-05-17 00:00:00,,"5,50/5,46/5,52",,SELESAI,CK1-1,,769.06,,2024-05-20 00:00:00,,SELESAI,,2024-05-22 00:00:00,2024-05-22 00:00:00,740,2.9365079365079363,Selesai,1,MEDISEAL 1,2024-05-29 00:00:00,,16046,0.45845714285714284,"belum selesai, 2 TONG ( TONG 1 & 2 ), tong nomor 2 ( 4.6 kg ) di hold, tablet belah",0.45845714285714284,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,05,2024,29.04.2024,300021183,051364 2,2,CB  2,,425.72,,2024-05-24 00:00:00,,"5,35/5,45/5,47",,SELESAI,CK1-1,CK3-1,462.2,446.18,2024-05-28 00:00:00,2024-05-31 00:00:00,SELESAI,,2024-06-01 00:00:00,2024-06-01 00:00:00,712,2.8253968253968256,Selesai,1,MEDISEAL 1,2024-06-04 00:00:00,2024-06-04 00:00:00,97622,2.7892,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,05,2024,29.04.2024,300021184,051364 3,3,CB  2,,429.17,,2024-05-27 00:00:00,,"5,39/5,60/5,56",,SELESAI,CK1-1,CK3-1,466.88,466.39,2024-05-28 00:00:00,2024-05-31 00:00:00,SELESAI,,2024-06-01 00:00:00,2024-06-03 00:00:00,753,2.988095238095238,Selesai,1,MEDISEAL 1,2024-06-04 00:00:00,2024-06-05 00:00:00,102343,2.9240857142857144,SELESAI,1,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021320,061484 1,1,CB  2,,429.63,,2024-06-05 00:00:00,,"5,44/5,52/5,54",,SELESAI,CK2-1,CK3-1,467.08,307.03,2024-06-07 00:00:00,2024-06-07 00:00:00,SELESAI,,2024-06-09 00:00:00,2024-06-09 00:00:00,751,0.93875,Selesai,1,MEDISEAL 2,2024-06-12 00:00:00,2024-06-12 00:00:00,104288,0.9932190476190477,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021321,061484 2,2,CB  2,,432.82,,2024-06-05 00:00:00,,"5,41/5,43/5,58",,SELESAI,CK2-1,CK3-1,470.5,307.33,2024-06-07 00:00:00,2024-06-07 00:00:00,SELESAI,,2024-06-09 00:00:00,2024-06-10 00:00:00,742,0.9275,Selesai,1,MEDISEAL 2,2024-06-12 00:00:00,2024-06-13 00:00:00,103087,0.9817809523809524,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021322,061484 3,3,CB  2,,436.24,,2024-06-05 00:00:00,,"5,39/5,45/5,10",,SELESAI,CK1-1,CK3-1,305.3,473.97,2024-06-09 00:00:00,2024-06-09 00:00:00,SELESAI,,2024-06-10 00:00:00,2024-06-10 00:00:00,758,0.9475,Selesai,1,MEDISEAL 2,2024-06-13 00:00:00,2024-06-13 00:00:00,105285,1.0027142857142857,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021323,061484 4,4,CB  2,,428,,2024-06-10 00:00:00,,"5,48/5,57/5,48",,SELESAI,CK3-1,CK3-1,465.06,307.51,2024-06-10 00:00:00,2024-06-10 00:00:00,SELESAI,,2024-06-10 00:00:00,2024-06-11 00:00:00,733,0.91625,Selesai,1,MEDISEAL 2,2024-06-13 00:00:00,2024-06-14 00:00:00,101677,0.968352380952381,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021324,061484 5,5,CB  2,,434,,2024-06-10 00:00:00,,"5,40/5,49/5,59",,SELESAI,CK3-1,CK1-1,471.08,307.06,2024-06-10 00:00:00,2024-06-11 00:00:00,SELESAI,,2024-06-11 00:00:00,2024-06-11 00:00:00,745,0.93125,Selesai,1,MEDISEAL 2,2024-06-14 00:00:00,2024-06-14 00:00:00,103519,0.985895238095238,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021325,061484 6,6,CB  2,,424.11,,2024-06-11 00:00:00,,"5,57/5,49/5,25",,SELESAI,CK3-1,CK2-1,461.41,307.56,2024-06-11 00:00:00,2024-06-11 00:00:00,SELESAI,,2024-06-12 00:00:00,2024-06-12 00:00:00,745,0.93125,Selesai,1,MEDISEAL 2,2024-06-14 00:00:00,2024-06-15 00:00:00,104532,0.9955428571428572,SELESAI,1,,,,,,,,,,,
